[2025-04-17T20:29:57.762+0000] {things_to_do.py:126} INFO - Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/metropolitan-opera-house
[2025-04-17T20:30:01.639+0000] {things_to_do.py:126} INFO - Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/st-patrick-s-cathedral
[2025-04-17T20:30:05.645+0000] {things_to_do.py:126} INFO - Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/little-italy
[2025-04-17T20:30:10.482+0000] {things_to_do.py:126} INFO - Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/central-park-zoo
[2025-04-17T20:30:14.343+0000] {things_to_do.py:126} INFO - Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/lexington-avenue
[2025-04-17T20:30:18.209+0000] {things_to_do.py:126} INFO - Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-botanical-garden
[2025-04-17T20:30:22.288+0000] {things_to_do.py:126} INFO - Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-botanical-garden
[2025-04-17T20:30:26.280+0000] {things_to_do.py:126} INFO - Scraping place 13/15: https://www.triphobo.com/place/adda/51c828b2e705454c13000000
[2025-04-17T20:30:31.146+0000] {things_to_do.py:126} INFO - Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-industries
[2025-04-17T20:30:35.122+0000] {things_to_do.py:126} INFO - Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/bloomingdale-s
[2025-04-17T20:30:38.925+0000] {things_to_do.py:114} INFO - Scraping page 4: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=4
[2025-04-17T20:30:44.801+0000] {things_to_do.py:117} INFO - Found 15 attraction links
[2025-04-17T20:30:44.802+0000] {things_to_do.py:126} INFO - Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/one-world-trade-center
[2025-04-17T20:30:48.956+0000] {things_to_do.py:126} INFO - Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/carnegie-hall
[2025-04-17T20:30:54.241+0000] {things_to_do.py:126} INFO - Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/ground-zero
[2025-04-17T20:30:58.060+0000] {things_to_do.py:126} INFO - Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/narcissa
[2025-04-17T20:31:01.941+0000] {things_to_do.py:126} INFO - Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/minton-s
[2025-04-17T20:31:05.726+0000] {things_to_do.py:126} INFO - Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/museum-of-the-moving-image
[2025-04-17T20:31:10.091+0000] {things_to_do.py:126} INFO - Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/south-street-seaport
[2025-04-17T20:31:15.021+0000] {things_to_do.py:126} INFO - Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/french-roast
[2025-04-17T20:31:18.975+0000] {things_to_do.py:126} INFO - Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/little-owl
